id,color,flex,length,tensity,N
42,,,,,
43,,,,,
44,,,,,
47,4,40,60,168,11
52,3,41,62,233,11
53,4,46,65,241,12
54,4,41,62,257,12
57,3,38,64,216,11
58,3,42,60,248,11
59,3,40,63,254,12
61,3,27,65,259,11
130,3,33,64,201,11
132,4,34,67,237,12
136,3,45,59,233,11
139,3,41,58,188,11
141,3,38,63,245,12
142,2,31,63,235,11
143,3,35,64,184,11
144,4,45,63,190,12
146,3,41,62,217,11
147,4,35,65,221,12
149,3,31,61,207,11
150,3,41,64,252,12
152,2,41,60,256,11
153,3,44,60,245,11
154,3,41,65,211,11
155,3,37,65,232,11
156,3,46,68,213,12
157,3,45,62,166,11
158,3,39,64,207,11
159,3,37,62,195,11
160,3,39,63,250,12
161,3,32,59,162,10
163,3,41,61,191,11
164,3,25,67,230,11
165,3,32,61,205,11
166,4,41,65,222,12
168,2,32,59,194,10
169,3,35,64,167,11
170,4,40,61,206,12
171,3,39,61,196,11
172,3,38,60,193,11
173,3,36,61,195,11
174,3,31,65,166,11
175,3,42,61,229,11
176,3,39,64,210,11
177,4,33,69,186,12
178,3,39,60,218,11
179,3,32,63,238,11
180,3,39,64,232,12
181,4,39,60,194,11
183,3,40,61,194,11
184,3,41,69,200,12
185,3,32,69,245,12
186,2,23,67,218,11
187,4,40,65,284,13
188,4,33,63,191,11
189,2,33,66,206,11
190,3,39,62,192,11
191,2,38,62,207,11
192,3,37,60,263,11
193,4,37,59,251,12
194,3,33,63,187,11
195,3,33,63,173,11
196,2,40,59,188,10
197,2,38,59,187,10
198,3,32,62,182,11
199,2,46,69,154,11
200,3,37,61,193,11
201,3,39,65,230,12
202,4,40,65,210,12
203,2,38,63,216,11
205,4,43,64,210,12
206,4,41,70,186,12
207,4,45,61,194,12
208,3,33,60,221,11
209,2,39,58,172,10
210,3,41,61,211,11
211,4,26,63,192,11
212,2,34,60,185,10
213,3,39,59,214,11
214,3,32,62,200,11
215,4,37,60,191,11
217,3,39,61,198,11
218,3,48,61,178,11
219,4,36,66,198,12
220,3,35,62,184,11
221,2,36,58,193,10
222,3,34,63,218,11
223,3,40,61,242,11
224,3,36,62,203,11
225,3,35,61,182,11
226,4,43,63,205,12
227,4,32,64,243,12
228,3,43,64,228,12
229,4,32,66,214,12
230,4,37,60,188,11
231,3,36,59,209,11
232,3,39,65,199,11
233,3,39,61,198,11
234,3,31,63,185,11
235,3,43,58,242,11
236,4,35,63,216,12
237,3,34,62,233,11
238,3,39,59,223,11
239,3,46,68,200,12
240,3,36,65,224,11
241,3,48,57,233,11
242,3,41,60,206,11
243,3,39,61,203,11
244,4,33,63,270,12
245,4,34,57,214,11
246,4,38,66,210,12
247,3,30,62,197,11
248,4,37,65,214,12
249,4,37,64,221,12
250,2,31,70,189,11
251,3,35,60,225,11
252,3,29,61,233,11
253,3,35,69,177,11
254,4,40,64,230,12
255,3,39,62,216,11
256,4,36,64,214,12
257,2,37,58,172,10
258,3,39,62,186,11
259,3,34,63,197,11
260,3,33,64,201,11
261,3,39,59,218,11
263,3,42,66,238,12
264,4,40,62,208,12
265,3,38,61,190,11
266,3,37,65,232,11
267,3,34,61,193,11
268,4,42,63,206,12
269,3,35,62,183,11
270,3,32,61,230,11
271,4,31,65,166,11
273,3,35,68,272,12
274,3,42,60,194,11
275,3,34,61,193,11
276,4,43,57,140,11
277,3,30,65,204,11
278,3,33,62,183,11
280,3,36,62,182,11
281,3,33,63,182,11
282,3,41,61,154,11
283,3,44,59,151,10
284,2,24,67,257,11
285,3,34,65,208,11
286,2,40,58,270,11
287,3,37,60,227,11
288,4,37,64,217,12
289,3,38,63,201,11
290,4,44,60,233,12
291,4,31,64,246,12
292,2,36,59,178,10
293,3,39,58,213,11
294,4,37,61,181,11
295,3,32,64,222,11
296,2,30,62,271,11
297,3,37,61,209,11
298,3,41,63,208,11
299,3,35,61,198,11
300,3,40,62,205,11
301,3,41,60,155,10
302,3,30,66,168,11
303,3,33,61,185,11
304,3,39,58,172,10
305,4,35,57,190,11
306,3,34,60,214,11
307,3,40,62,204,11
308,3,33,63,201,11
309,2,36,58,189,10
310,4,38,64,225,12
311,3,39,59,204,11
312,2,34,60,165,10
313,2,35,58,180,10
314,3,36,66,220,12
315,3,34,59,178,10
316,3,40,61,203,11
317,2,29,61,206,10
318,3,29,64,208,11
319,3,40,62,165,11
320,4,41,65,252,12
321,3,32,63,206,11
322,3,29,57,190,10
324,3,38,62,205,11
326,3,32,63,196,11
327,2,35,58,184,10
328,4,39,62,222,11
329,2,39,64,206,11
330,2,33,59,180,10
331,3,36,57,177,10
333,3,36,61,216,11
334,2,30,65,220,11
337,3,35,61,205,11
338,2,38,58,201,10
339,2,29,59,142,9
340,3,30,69,217,11
342,4,38,64,211,12
344,2,36,59,178,10
345,3,35,62,183,11
346,3,32,64,224,11
347,2,36,59,180,10
348,3,37,60,197,11
349,3,38,63,196,11
350,2,31,64,127,9
351,3,29,63,190,11
352,3,35,59,162,10
353,4,41,68,228,10
354,4,40,61,209,12
356,3,35,61,220,11
357,3,43,58,141,10
358,3,34,59,193,10
359,3,43,65,244,12
360,4,43,67,207,12
361,3,37,61,210,11
362,2,30,62,271,11
363,2,36,60,173,10
364,3,34,61,210,11
365,3,44,67,225,12
366,2,26,70,187,11
367,3,29,68,162,11
368,3,34,62,179,11
369,4,30,68,182,12
370,3,44,62,194,11
371,4,42,67,206,12
372,3,39,67,182,11
373,3,29,68,167,11
374,4,39,70,196,12
375,2,39,58,172,10
376,4,36,61,196,11
377,2,26,66,201,10
378,3,46,65,231,12
379,4,39,64,187,12
380,3,32,60,203,10
381,4,40,64,224,12
382,3,36,61,180,11
383,3,44,58,129,10
384,4,37,63,203,12
385,3,38,57,141,10
386,3,32,63,260,11
387,3,33,61,186,11
388,3,35,63,178,11
389,2,36,60,188,10
390,3,38,62,200,11
391,3,29,67,173,11
392,4,45,66,214,12
393,4,51,60,263,12
394,3,52,60,214,11
395,3,32,62,196,11
396,3,42,61,210,11
397,4,37,66,189,12
398,4,45,62,232,11
399,2,35,62,187,10
400,3,38,61,195,11
401,4,40,69,211,12
402,3,42,64,223,12
403,3,29,60,207,10
404,3,31,60,165,10
405,4,41,62,189,12
406,3,26,67,158,11
407,2,37,57,179,10
408,3,35,63,197,11
409,4,39,64,218,12
410,3,37,57,170,10
411,3,39,60,199,11
412,3,34,66,175,11
413,3,47,58,246,11
414,4,38,66,259,13
415,4,40,66,247,13
416,3,33,60,216,11
417,4,36,65,237,12
418,2,32,64,191,10
419,3,37,62,201,11
420,3,32,62,199,11
421,4,30,60,186,11
422,4,40,61,201,12
423,3,35,61,190,11
424,3,46,63,225,12
425,2,39,62,242,11
426,3,33,65,187,11
427,4,40,62,211,12
429,3,35,61,173,11
430,3,37,61,189,11
431,4,39,64,213,12
432,2,40,62,205,11
433,2,30,58,197,10
434,2,33,59,199,10
435,3,37,62,201,11
436,3,34,59,180,10
437,3,29,63,170,10
438,4,38,63,224,12
439,3,37,60,196,11
440,3,41,59,214,11
441,3,42,60,207,11
442,3,35,62,205,11
443,2,65,58,189,11
444,3,43,62,208,11
445,3,37,66,224,12
446,4,46,70,178,12
447,2,40,60,206,10
449,3,52,62,197,12
450,2,31,63,246,11
451,3,32,57,192,10
452,3,33,68,252,12
453,3,35,65,187,11
454,3,24,68,244,11
455,3,36,60,202,11
456,2,44,64,217,11
457,2,34,60,178,10
458,3,58,58,185,11
459,2,33,64,209,11
460,4,31,61,187,11
461,2,35,60,199,10
462,4,42,69,221,13
463,2,38,60,243,11
464,2,42,65,221,11
465,2,40,57,201,10
467,3,45,59,216,11
468,4,46,65,205,12
469,2,35,62,219,11
470,2,39,69,211,11
471,2,35,70,223,11
472,3,40,64,246,12
473,4,39,61,228,12
474,4,37,59,249,12
475,3,42,65,216,12
476,3,41,61,211,11
477,2,34,59,191,10
478,3,39,65,219,11
479,3,55,60,179,11
480,2,38,64,225,11
481,3,33,60,196,10
482,2,33,66,158,10
483,4,40,65,220,12
484,3,39,60,223,11
486,4,38,64,216,12
487,4,40,65,226,12
488,2,36,58,184,10
489,3,39,63,215,11
490,4,42,64,224,12
491,4,34,70,254,13
492,4,37,62,268,12
493,3,35,68,281,12
496,3,49,61,210,12
497,4,32,62,300,12
498,4,39,67,263,13
499,2,36,59,200,10
500,3,40,67,219,12
501,3,27,61,254,11
502,3,33,63,238,11
503,2,28,65,228,11
504,3,43,60,252,11
